CustomerID,RiskScore,Predicted,Frequency,Monetary,TotalItems,AvgUnitPrice,Tenure,AvgOrderValue,AvgBasketSize,UniqueProducts,SpendTrend
17203,0.52877957,1,-0.53884935,-0.12062591,-0.0665945,0.13093087,-1.5767558,0.40373486,0.54364955,0.08169874,1.172409
12761,0.995059,1,4.2300353,0.09723748,0.20548582,0.0122761205,0.2385892,0.21522915,0.06767866,0.14548093,0.0075811003
17303,0.00639419,0,2.1002398,0.25603107,0.17266776,-0.011937093,-7.738537,0.06812998,0.014305682,0.029490974,-0.021987082
16822,0.7076341,1,0.15391542,0.43158856,0.07907503,-0.054750714,0.5953643,-0.25862598,-0.11585562,0.024199255,-0.05663704
16350,0.047490876,0,-1.4678961,-0.18628061,-0.1013048,-0.048032288,-0.7739793,-0.19631639,-0.1260852,0.02571089,-0.21002865
17971,0.9972988,1,3.9692225,0.7536349,0.467028,0.015119262,0.66149235,-0.07523474,-0.090969466,0.08633711,0.03907549
17826,0.0055554146,0,2.1462364,0.41100192,0.3036451,-0.054259077,-7.8692427,-0.15000686,-0.120463565,0.095366016,-0.035335314
16735,0.04808541,0,-2.2726603,-0.5739836,-0.2630231,-0.1300869,0.4584789,0.042054884,0.10715379,-0.29281846,-0.1462616
14680,0.025739787,0,-3.1516585,-0.53160036,-0.14140806,0.0048865154,0.40064463,0.17551017,0.046448193,-0.3044488,-0.21766244
16670,0.023218457,0,-2.9956229,-0.5761778,-0.2357207,0.08839357,0.39919943,0.020808563,-0.08073482,-0.24553326,-0.19957682
17191,0.09128621,0,-2.058942,-0.28475407,-0.14041398,0.11077953,0.41968644,0.02443319,-0.07407673,-0.20304076,-0.17735091
13687,0.9900682,1,4.3027267,-0.45934668,-0.09697503,-0.071523264,-0.0045846193,0.16906402,0.53843284,0.19118294,-0.052593518
17995,0.07045048,0,-0.29891902,0.0024273773,0.047429748,-0.023560617,-2.0150807,-0.24524203,-0.15286352,0.012345582,0.008023638
16134,0.37075514,0,-0.68298167,-0.22985768,-0.12399178,-0.12699012,0.40020478,0.019243829,0.17158289,0.009016795,-0.05085351
13738,0.9918937,1,4.47256,0.3417521,0.18361112,-0.12783714,-0.51717263,0.25336534,0.24246903,-0.06644422,-0.060969394
15022,0.99728966,1,3.8929925,0.4511543,0.4564323,-0.061547574,0.8632309,0.0412037,0.068965286,0.10131158,0.008559983
13139,0.6556318,1,0.8298173,-0.4998061,-0.25536177,-0.062478457,-0.3770532,0.059321273,0.58188987,-0.09712824,0.37903962
14524,0.12689564,0,-0.99094146,-0.17013173,-0.17890483,0.010753211,-1.0935851,0.025364881,-0.040988155,0.0073793354,0.4167161
17598,0.96366143,1,4.0193453,0.22276314,0.25312054,-0.004804668,-1.66277,0.16763741,0.022029279,0.051096853,0.123793304
16053,0.5204,1,-0.62374645,-0.17862414,-0.10779449,-0.042924732,0.6074768,0.07406656,0.11542273,-0.019182935,0.17130382
17984,0.49062684,0,-0.27724612,-0.0013586194,-0.08739524,-0.031383604,0.6032738,0.06769096,0.09014851,-0.20879269,-0.27808237
14436,0.9965006,1,3.9507267,0.698624,0.1315725,0.055950873,0.7206864,-0.06023888,0.13671497,-0.08661561,0.018582873
17910,0.99640745,1,3.907701,0.40213168,0.40013888,0.048929367,0.589569,0.06399136,0.025945337,0.08381098,0.017434
12505,0.7611563,1,0.48130348,0.020137329,-0.112345934,-0.0382678,-1.0458375,0.17277808,-0.014416851,0.029578457,1.580453
16433,0.9958912,1,4.4961667,0.6544591,0.36314735,0.12903923,-0.3924713,0.015226719,0.03970175,0.0799935,0.01961781
12837,0.99509084,1,3.903663,0.12305718,0.22493373,-0.058257833,0.58447975,0.24395141,0.19622038,0.018465422,-0.01042814
15242,0.99566466,1,4.417382,0.46224454,0.11730175,0.13398875,-0.07298443,0.102346554,0.16455817,0.028237827,-0.0021229922
12946,0.99530387,1,4.318545,0.47696903,0.2157301,0.027772015,-0.03876097,0.11364143,0.07298397,0.08119361,0.0025784655
17978,0.5508638,1,-0.25928712,-0.08723313,-0.10977628,0.03617555,0.7150774,0.034708235,0.0010776973,0.03373935,-0.2459687
17855,0.0094265295,0,2.1324086,0.3971777,0.08725167,0.10229895,-7.7079797,0.06522318,0.14218538,0.06597231,-0.024941599
18026,0.6118315,1,0.66623485,-0.2636299,-0.060498092,-0.18014339,0.16310036,0.11488452,-0.020228647,0.058938682,-0.1092889
14020,0.52243596,1,0.026813177,0.12627481,0.04640381,-0.058293488,0.32635555,-0.21070875,-0.3292016,0.13768512,-0.061172556
16112,0.004159472,0,0.33113068,0.36229247,-0.0023174929,-0.11699418,-6.1019826,-0.06965927,0.18119192,0.06772454,-0.21523543
13134,0.5329305,1,0.43947202,0.07767089,0.36141682,-0.08543573,-0.86908054,0.11815485,0.050468568,0.09089269,-0.13729483
17565,0.9971374,1,4.002082,0.74655974,0.49465555,0.025185246,0.67583936,-0.09840979,-0.21456347,0.14838728,-0.012206966
15206,0.0056660785,0,2.0888288,0.49049497,0.2573288,-0.013517658,-7.8632107,-0.0777041,-0.1371064,0.005387206,-0.003722846
16525,0.033625636,0,-3.0749278,-0.5166043,-0.14555947,0.16922183,0.32264876,0.15919092,-0.010480003,-0.081344284,-0.2660573
15236,0.009439945,0,2.086506,0.25559103,0.105039015,0.13160026,-7.6584215,0.1100038,0.17816202,0.09056112,-0.03800806
16251,0.9968245,1,4.1268673,0.7496068,0.40470582,0.028818963,0.36785027,-0.100640595,0.006129483,0.0417544,0.038357552
12728,0.0881496,0,-0.24728441,0.056418087,-0.16363946,-0.009946836,-1.8620739,-0.028560411,-0.12303569,0.0896727,-0.13363886
15059,0.053233538,0,-2.4410243,-0.36187392,-0.1252823,0.14265749,0.45269075,-0.15458158,-0.051247567,-0.27496213,-0.15039042
14927,0.99330807,1,4.4832473,0.48632815,0.15140124,0.0012231846,-0.5857727,0.1476954,0.161995,0.081372306,-0.012985437
12664,0.60618174,1,0.1215507,-0.17223205,-0.150066,-0.09808555,0.59769493,0.21645008,0.016115645,0.07543683,-0.2612223
15152,0.9962942,1,3.8915884,0.1462817,0.29171416,0.050435267,0.75169253,0.17899358,0.06088626,0.16007753,-0.023165004
14210,0.068064675,0,-2.2462766,-0.52047,-0.22907436,0.015689293,0.6222237,0.029039944,-0.032719024,-0.23277429,-0.10809371
17104,0.99351996,1,4.4458127,0.136853,0.20722249,-0.12022934,-0.15659581,0.25785732,0.08363238,0.09446485,-0.0021333224
15446,0.49365637,0,-0.24224578,0.12452736,0.0646107,-0.0020343298,0.57577795,-0.054514866,-0.35070905,-0.13867612,-0.08775932
18101,0.6756232,1,0.08533574,0.16870591,0.1042564,0.016387621,0.8316568,-0.13699913,-0.13620274,0.041318465,-0.3263772
13136,0.058720194,0,-2.2558532,-0.49496067,-0.18909535,0.10948144,0.4759634,0.01747457,-0.08654621,-0.24146368,-0.19510642
15303,0.5955999,1,-0.2575346,-0.090651035,-0.11975875,-0.009347421,0.86180836,0.010994112,-0.048367508,0.04767804,-0.09330513
16125,0.06264387,0,-2.2633379,-0.5490207,-0.19260138,-0.0070605488,0.39201972,0.04518193,-0.085102215,-0.14452343,0.013197351
15180,0.6668371,1,0.14258114,-0.08961799,-0.09351021,0.08012997,0.553162,0.0069991723,0.12656498,0.06820424,-0.18624704
14550,0.81019396,1,0.76305777,0.21679512,0.069884986,-0.070801064,0.15101638,0.054919764,0.15720122,0.07401218,-0.05046336
16012,0.7581255,1,0.6657259,-0.014768712,-0.041479245,-0.049066406,0.37271756,0.11421361,0.3862681,-0.24768412,-0.12914528
15259,0.5880491,1,-0.24472873,-0.11076151,-0.10887623,-0.1360679,0.8622365,0.0032785728,-0.002593554,0.019500453,-0.011729374
13538,0.34566224,0,-0.9979917,-0.19872236,-0.05805611,-0.0043203398,0.7310765,0.026737573,-0.006214101,-0.08473248,-0.13158622
16365,0.13611327,0,-1.6778177,-0.21306333,-0.038604748,-0.029064119,0.4477777,-0.0435656,-0.3211237,0.06018313,-0.118323214
14204,0.5819567,1,0.11970756,-0.011768837,0.09544013,-0.079896145,0.5967191,-0.00025579226,-0.05653319,-0.28438845,-0.13386105
17019,0.11824067,0,-1.9860077,-0.29894844,-0.17133687,-0.1052108,0.43247733,0.02788196,0.042650573,-0.29225197,0.25589868
13602,0.6716368,1,0.06881815,0.113164656,0.16923182,-0.034780063,0.55368865,0.018517235,-0.0899103,0.119281635,-0.2880623
15646,0.27260053,0,-0.12181005,0.11717802,-0.06644448,0.18351209,-1.1474762,-0.09838565,0.19087943,0.034905385,-0.15947498
17617,0.8481974,1,0.72584236,0.427514,0.08949845,0.0046629324,0.57848823,-0.37926155,-0.015973497,0.12666771,0.07744551
12735,0.0035601282,0,0.32951024,0.043703627,-0.0047410615,-0.065982476,-6.0972743,0.044649113,0.12648012,0.026929878,-0.123312995
12638,0.99731004,1,3.875057,0.73657733,0.47604042,-0.058754247,0.7759491,-0.043858785,-0.053935513,0.122558184,0.0002720547
16631,0.32090226,0,-1.0554649,-0.28207225,-0.12801939,0.01818346,0.775689,-0.0025292817,-0.078015454,0.013497229,-0.09654438
